end_api,start_api,relation_type,label
CityLookup,DailyWeatherForecast,DependOn,"needs locationID or longitude and latitude"
CityLookup,CurrentWeather,DependOn,"needs locationID or longitude and latitude"
CityLookup,HourlyWeatherForecast,DependOn,"needs locationID or longitude and latitude"
CityLookup,MinuteByMinutePrecipitation,DependOn,"needs longitude and latitude"
CityLookup,WeatherDisasterWarning,DependOn,"needs locationID or longitude and latitude"
CityLookup,WeatherWarningCityList,DependOn,"needs locationID or longitude and latitude"
CityLookup,WeatherIndexForecast1D,DependOn,"needs locationID or longitude and latitude"
CityLookup,WeatherIndexForecast3D,DependOn,"needs locationID or longitude and latitude"
CityLookup,CurrentAirQualityIndex,DependOn,"needs locationID or longitude and latitude"
CityLookup,DailyAirQualityForecast,DependOn,"needs locationID or longitude and latitude"
CityLookup,WeatherHistory,DependOn,"needs locationID or longitude and latitude"
CityLookup,HourlySolarRadiationForecast24H,DependOn,"needs locationID or longitude and latitude"
CityLookup,HourlySolarRadiationForecast72H,DependOn,"needs locationID or longitude and latitude"
CityLookup,SunriseSunset,DependOn,"needs locationID or longitude and latitude"
CityLookup,POISearch,PartlyDependOn,"can get locationID or longitude and latitude"
CityLookup,POIAreaSearch,DependOn,"needs longitude and latitude"
TopCityLookup,DailyWeatherForecast,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,CurrentWeather,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,HourlyWeatherForecast,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,MinuteByMinutePrecipitation,DependOn,"needs longitude and latitude"
TopCityLookup,WeatherDisasterWarning,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,WeatherWarningCityList,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,WeatherIndexForecast1D,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,WeatherIndexForecast3D,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,CurrentAirQualityIndex,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,DailyAirQualityForecast,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,WeatherHistory,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,HourlySolarRadiationForecast24H,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,HourlySolarRadiationForecast72H,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,SunriseSunset,DependOn,"needs locationID or longitude and latitude"
TopCityLookup,POISearch,PartlyDependOn,"can get locationID or longitude and latitude"
TopCityLookup,POIAreaSearch,PartlyDependOn,"can get locationID or longitude and latitude"
LocationtoLatLon,DailyWeatherForecast,DependOn,"needs longitude and latitude"
LocationtoLatLon,CurrentWeather,DependOn,"needs longitude and latitude"
LocationtoLatLon,HourlyWeatherForecast,DependOn,"needs longitude and latitude"
SearchFlightDestination,SearchFlights,DependOn,"needs location id of flights fromId and toId from api/v1/flights/searchFlightDestination"
SearchFlightDestination,GetMinPrice,DependOn, "needs location id of flights fromId and toId from api/v1/flights/searchFlightDestination"
SearchHotelDestination,SearchHotels,DependOn, "needs 'search_type' parameter from api/v1/hotels/searchDestination"
SearchHotels,GetHotelDetails,DependOn, "needs 'hotel_id' from api/v1/hotels/searchHotels"
SearchHotels,GetHotelReviewScores,DependOn, "needs 'hotel_id' from api/v1/hotels/searchHotels"  
SearchHotels,GetHotelRoomAvailability,DependOn, "needs 'hotel_id' from api/v1/hotels/searchHotels"
SearchHotels,GetHotelDescriptionAndInfo,DependOn, "needs 'hotel_id' from api/v1/hotels/searchHotels"
